,channel,title,view_count,like_count,was_live,duration_m,date_upload,hour_upload
0,Jess No Limit,ASMR Makan Makanan Warna Hijau!,3612586,182094,0,1.0,2023-05-13,10
1,Jess No Limit,Pilih Uang Atau Buku?,735920,41004,0,0.55,2023-05-12,11
2,Jess No Limit,"Subscribe Dapet Rp1,000,000!",605815,39570,0,0.583,2023-05-11,11
3,Jess No Limit,Ambil Uang Sepuasnya di Koper Dalam 3 Detik!,2573951,135660,0,0.583,2023-05-10,9
4,Jess No Limit,ASMR Susun Uang!,1910571,107261,0,0.25,2023-05-09,6
5,Jess No Limit,Kelinci Mencuri Uang!,7111865,272577,0,0.55,2023-05-05,11
6,Jess No Limit,Akhirnya Istriku Sisca Kohl Hamil!,2851001,147177,0,8.067,2023-05-04,10
7,Jess No Limit,Susun Uang Untuk Subscriber!,876044,46372,0,0.4,2023-05-03,10
8,Jess No Limit,"Main Tebak Bajak Laut Rp1,000,000",290896,10162,0,0.15,2023-04-30,10
9,Jess No Limit,Nonton Film di Atas Kolam Renang,906553,49060,0,0.433,2023-04-29,11
10,Jess No Limit,Mesin Uang Terbang Jess No Limit Dan Sisca Kohl,6716370,259104,0,0.267,2023-04-28,12
11,Jess No Limit,"Kado Rp1,5 Miliar Untuk Istri Tercinta Sisca Kohl",1653273,54416,0,20.567,2023-03-13,11
12,Jess No Limit,Life Hack Minuman Soda Berubah Warna,528079,19527,0,0.417,2023-02-25,11
13,Jess No Limit,Review Hero Terbaru Arlott - Mobile Legends,1191838,29847,0,11.333,2023-02-06,11
14,Jess No Limit,"Skin Leomord Abyss Terbaru Rp3,000,000 - Mobile Legends",575531,16530,0,12.667,2023-02-04,5
15,Jess No Limit,"Starlight Saber Kualitas Rp1,000,000 - Mobile Legends",335912,11129,0,9.483,2023-02-03,10
16,Jess No Limit,Hero Paling Ditakuti di Mobile Legends,339936,10815,0,9.517,2023-02-02,3
17,Jess No Limit,"Top Up Rp10,000,000 di FIFA Mobile",1329606,36420,0,14.867,2023-02-01,11
18,Jess No Limit,Emote Full Power Mari Kita Coba Gratis!,818757,23541,0,8.267,2023-01-31,11
19,Jess No Limit,Boba Challenge,6511068,295025,0,0.617,2023-01-31,11
